"","V1","V2"
"348","Rap1gap","lightgreen"
"349","Atxn7l1os2","black"
"350","D030025P21Rik","brown2"
"351","X2610035D17Rik","lightcoral"
"352","Vipr2","grey"
"353","Grik3","plum2"
"354","Prkaa2","magenta"
"355","Cabyr","thistle1"
"356","Ccdc138","midnightblue"
"357","Lrrc71","black"
"358","Bank1","black"
"359","Tox","lightpink4"
"360","Mycl","magenta"
"361","Cxcr2","darkturquoise"
"362","Abcg4","grey"
"363","Snhg14","lavenderblush2"
"364","Klk1","black"
"365","Epha7","grey"
"366","X3300002I08Rik","lightcoral"
"367","Alpl","black"
"368","Dync1i1","grey"
"369","Eldr","yellow4"
"370","Gm6634","grey"
"371","Gm8909","black"
"372","Hist1h3f","grey"
"373","Lrfn1","black"
"374","Npas4","black"
"375","Pm20d1","magenta4"
"376","Ppara","greenyellow"
"377","Rasal1","black"
"378","Trim29","midnightblue"
"379","Zfp354b","black"
"380","Cfd","magenta"
"381","Dusp27","thistle3"
"382","Lck","black"
"383","Adipoq","magenta"
"384","Bmp7","honeydew1"
"385","Dcstamp","black"
"386","Derl3","black"
"387","Il10","darkviolet"
"388","Lurap1","white"
"389","Mir155hg","black"
"390","Muc4","bisque4"
"391","Pemt","salmon2"
"392","Ptprcap","orange"
"393","Smim10l2a","black"
"394","Gpr21","mediumorchid"
"395","Rsph9","black"
"396","Mapk4","black"
"397","Zfp791","darkturquoise"
"398","Lgr6","black"
"399","Dqx1","black"
"400","Myrf","ivory"
"401","Proca1","grey"
"402","Flicr","red"
"403","Clca3a2","coral2"
"404","Eomes","orange"
"405","Mgarp","black"
"406","Stab2","orange"
"407","Pcdh11x","black"
"408","Lncenc1","grey"
"409","Masp2","black"
"410","X4930581F22Rik","black"
"411","X1700048O20Rik","black"
"412","X2010204K13Rik","black"
"413","Art2a.ps","salmon"
"414","Cyp2s1","black"
"415","Matn3","lightgreen"
"416","Serpind1","white"
"417","Slitrk6","black"
"418","Mir17hg","honeydew1"
"419","Ccdc62","orangered4"
"420","Rps19.ps3","lightcyan1"
"421","Cd177","orange"
"422","Nrk","darkgrey"
"423","Sema3e","black"
"424","Slc25a53","grey"
"425","Plin4","magenta"
"426","Frs3","black"
"427","Unc79","brown4"
"428","Prr18","black"
"429","Apol7a","white"
"430","Ccdc189","black"
"431","Lenep","darkviolet"
"432","Tmem150b","skyblue"
"433","Ap3b2","thistle2"
"434","Ccdc159","grey"
"435","Hoxd4","black"
"436","Kcna6","grey"
"437","LOC102634812","black"
"438","Marveld2","magenta"
"439","Nyap1","black"
"440","Nxpe2","grey"
"441","F7","orange"
"442","Bdkrb1","black"
"443","Thrsp","magenta"
"444","Mycn","black"
"445","Vnn1","black"
"446","Cldn1","black"
"447","Slc5a7","grey"
"448","Pou5f2","yellow4"
"449","Zfp385c","black"
"450","Kcnc2","lightsteelblue"
"451","Popdc2","black"
"452","Celsr2","lightcoral"
"453","Ogdhl","black"
"454","Hist1h4i","black"
"455","Pck1","magenta"
"456","Angptl8","orange"
"457","Hs3st3a1","brown2"
"458","Neil2","greenyellow"
"459","Lhx8","black"
"460","Map3k13","darkmagenta"
"461","Olfr920","black"
"462","X4430402I18Rik","brown2"
"463","Slc26a1","grey"
"464","Nup210l","indianred4"
"465","Hist1h3g","red"
"466","Bicd1","plum"
"467","Cfap126","honeydew1"
"468","Plag1","navajowhite2"
"469","AV039307","black"
"470","Eya1","grey"
"471","Fer1l5","black"
"472","Gm6878","thistle2"
"473","H2.M2","black"
"474","Kazald1","black"
"475","Opn1sw","black"
"476","Pkp3","magenta"
"477","Prr7","honeydew1"
"478","Wscd2","antiquewhite4"
"479","X1700010I14Rik","grey"
"480","Wfdc21","magenta"
"481","Tph1","magenta4"
"482","Klk8","black"
"483","Bco2","lightgreen"
"484","Inca1","grey"
"485","Rdh5","grey"
"486","Car3","magenta"
"487","Ccl24","black"
"488","Abhd11os","red"
"489","X2500002B13Rik","red"
"490","Zbtb3","black"
"491","Fam46b","thistle3"
"492","Gdpd3","black"
"493","Prox1","yellow4"
"494","Chil3","greenyellow"
"495","Mmrn1","black"
"496","C530008M17Rik","plum"
"497","X1700095J12Rik","midnightblue"
"498","X3200001D21Rik","brown2"
"499","Bspry","magenta4"
"500","Btbd8","black"
"501","Catip","honeydew1"
"502","Esyt3","black"
"503","Fam89a","lightgreen"
"504","Gjb2","black"
"505","Gnaz","grey"
"506","Krt222","black"
"507","Mc2r","magenta"
"508","Stk32a","darkgrey"
"509","Ufsp1","black"
"510","P2rx6","black"
"511","Rwdd2a","black"
"512","Fam13a","greenyellow"
"513","Olfr99","thistle1"
"514","Col6a5","grey"
"515","Tlr11","maroon"
"516","Prrg4","thistle3"
"517","Gpr85","black"
"518","X5430437J10Rik","darkslateblue"
"519","Ubd","grey"
"520","X3010003L21Rik","black"
"521","X4930478L05Rik","grey"
"522","Ager","maroon"
"523","Catsperg1","black"
"524","Cd207","black"
"525","Dyx1c1","brown4"
"526","Espn","midnightblue"
"527","Fabp7","navajowhite2"
"528","Gap43","lightcyan1"
"529","Isoc2b","black"
"530","Lrrc4c","black"
"531","Plekhg6","black"
"532","Psg16","darkorange"
"533","Rac3","thistle1"
"534","Spef2","black"
"535","Pappa2","blue2"
"536","Rgs9","grey"
"537","Chdh","magenta"
"538","Rprl3","black"
"539","X4921504A21Rik","antiquewhite4"
"540","Adrb3","magenta"
"541","Acot1","black"
"542","Nphp4","honeydew1"
"543","Tmem178b","magenta4"
"544","X9330020H09Rik","black"
"545","Slc25a27","midnightblue"
"546","Ltb","black"
"547","Slco4a1","black"
"548","Pkd1l3","lavenderblush2"
"549","Mpzl2","saddlebrown"
"550","X0610040B10Rik","greenyellow"
"551","X1700086O06Rik","darkseagreen4"
"552","X9530077C05Rik","black"
"553","Asb14","skyblue3"
"554","E130317F20Rik","black"
"555","Esrp2","lightgreen"
"556","Fam229b","black"
"557","Gli1","grey"
"558","Klhl35","midnightblue"
"559","Map3k19","black"
"560","X4930487H11Rik","black"
"561","Clec4b1","orangered3"
"562","Unc5a","skyblue"
"563","Agtr2","black"
"564","Scn4b","black"
"565","Ccdc39","orangered3"
"566","Tnfrsf19","darkmagenta"
"567","Mirg","black"
"568","Gpr1","black"
"569","Ccdc8","darkorange"
"570","Rpl39l","red"
"571","Tmem8b","black"
"572","Arhgdig","lightgreen"
"573","Il12rb1","black"
"574","Plppr4","grey"
"575","Tcea2","lightgreen"
"576","Ccdc24","honeydew1"
"577","Slc22a3","magenta"
"578","Sapcd2","black"
"579","Crocc2","white"
"580","Dlgap1","magenta"
"581","Ctnnd2","midnightblue"
"582","Scx","black"
"583","Grin3a","grey"
"584","Dzank1","floralwhite"
"585","X9330102E08Rik","lightsteelblue"
"586","Homer2","magenta"
"587","Ebf4","lightgreen"
"588","Crmp1","black"
"589","Ngef","navajowhite2"
"590","Hspa1l","black"
"591","X1700037C18Rik","greenyellow"
"592","BC065397","darkseagreen4"
"593","C130036L24Rik","black"
"594","Cdkn2a","black"
"595","Fam19a1","white"
"596","Mak","black"
"597","Morn4","black"
"598","Myh15","black"
"599","Pdzd9","salmon2"
"600","Snord17","black"
"601","Trim66","midnightblue"
"602","Xkr5","palevioletred3"
"603","Begain","lightgreen"
"604","AU040972","antiquewhite4"
"605","Nlgn3","lightgreen"
"606","Recql4","black"
"607","Tas1r3","darkseagreen4"
"608","Celsr3","black"
"609","Fbxl21","black"
"610","Efcab2","yellowgreen"
"611","Gzme","indianred4"
"612","A330035P11Rik","brown2"
"613","Dnah6","lavenderblush2"
