"V1" "V2"
"588" "LONRF2" "grey"
"589" "LOC728392" "grey"
"590" "RNF157" "darkred"
"591" "GLI2" "lavenderblush3"
"592" "SLC39A2" "pink"
"593" "NAP1L2" "mediumpurple3"
"594" "IGFBPL1" "lightsteelblue1"
"595" "LINC00654" "grey"
"596" "ZNF812P" "violet"
"597" "APOBEC3D" "grey"
"598" "CLGN" "coral2"
"599" "AMDHD1" "grey"
"600" "KLF14" "palevioletred3"
"601" "TSPAN8" "grey"
"602" "CRTAC1" "grey"
"603" "CRACR2A" "grey"
"604" "STRC" "grey"
"605" "MFSD6L" "skyblue2"
"606" "GBP5" "brown4"
"607" "CLCA2" "magenta"
"608" "SLC35F1" "green"
"609" "PRRX1" "saddlebrown"
"610" "FABP7" "green"
"611" "ULK4P1" "lavenderblush3"
"612" "ULK4P2" "lavenderblush3"
"613" "SERPINB9" "grey"
"614" "ITGA4" "green"
"615" "KLHL34" "mediumorchid"
"616" "COL14A1" "grey"
"617" "CHST1" "darkmagenta"
"618" "C1QTNF1" "navajowhite2"
"619" "TCF4" "green"
"620" "JMJD7.PLA2G4B" "grey"
"621" "LINC02095" "magenta"
"622" "SPOCK2" "grey"
"623" "GFRA1" "lavenderblush3"
"624" "PIEZO2" "lavenderblush3"
"625" "HAPLN4" "white"
"626" "LCT" "grey"
"627" "ERC2" "darkslateblue"
"628" "NEFM" "purple"
"629" "LGR5" "pink"
"630" "FSTL4" "skyblue2"
"631" "TM4SF18" "grey"
"632" "TCEAL2" "plum"
"633" "COL4A2" "saddlebrown"
"634" "GNG2" "grey"
"635" "FAM198B" "salmon4"
"636" "VWA5A" "maroon"
"637" "PCDHB8" "grey"
"638" "CIITA" "grey"
"639" "TRIM55" "grey"
"640" "SCGB3A1" "brown"
"641" "INA" "grey"
"642" "PRELP" "black"
"643" "ZNF114" "antiquewhite4"
"644" "PPARGC1A" "violet"
"645" "SLCO2A1" "darkgreen"
"646" "BATF2" "tan"
"647" "ACP7" "grey"
"648" "RGL3" "skyblue2"
"649" "OAS2" "tan"
"650" "PGLYRP4" "grey"
"651" "HOXA11" "grey"
"652" "PAX7" "brown"
"653" "PTPRN2" "magenta"
"654" "UBXN10" "steelblue"
"655" "CNTN5" "darkorange2"
"656" "ZNF626" "grey"
"657" "SLC47A1" "bisque4"
"658" "SARDH" "steelblue"
"659" "TNFSF11" "lightsteelblue1"
"660" "PCDH7" "grey"
"661" "IL12RB2" "magenta"
"662" "MAPT.IT1" "grey"
"663" "SNAP25" "orangered3"
"664" "LZTS1" "lavenderblush3"
"665" "LRP4" "saddlebrown"
"666" "RGS7BP" "grey"
"667" "KL" "skyblue2"
"668" "SPAAR" "magenta"
"669" "BGN" "steelblue"
"670" "SHC4" "magenta"
"671" "SHROOM4" "violet"
"672" "USP32P2" "steelblue"
"673" "LINC00319" "brown"
"674" "SLIT3" "grey"
"675" "SLC26A9" "cyan"
"676" "POU4F1" "steelblue"
"677" "IL2RG" "grey"
"678" "TMTC1" "salmon4"
"679" "C6orf15" "brown"
"680" "GSTT2" "green"
"681" "DDR2" "grey"
"682" "ROR2" "saddlebrown"
"683" "ACY3" "brown"
"684" "TMEM100" "steelblue"
"685" "KIF26A" "purple"
"686" "PAX8.AS1" "grey"
"687" "OCA2" "saddlebrown"
"688" "WNT6" "antiquewhite4"
"689" "KCNT2" "grey"
"690" "TFPI" "navajowhite2"
"691" "DNAH3" "grey"
"692" "ADGRG4" "navajowhite2"
"693" "LPAR1" "paleturquoise"
"694" "CCDC144CP" "brown"
"695" "LINC01018" "violet"
"696" "MMP7" "black"
"697" "ASTN1" "grey"
"698" "CACNA1E" "grey"
"699" "VNN1" "darkturquoise"
"700" "MIA.RAB4B" "black"
"701" "CRLF1" "thistle1"
"702" "MNX1" "grey"
"703" "GBP4" "paleturquoise"
"704" "ACPP" "black"
"705" "RTEL1.TNFRSF6B" "grey"
"706" "TFPI2" "magenta"
"707" "GYPC" "sienna3"
"708" "ADAMTS2" "darkorange"
"709" "CLEC5A" "grey"
"710" "GS1.24F4.2" "orangered4"
"711" "LAIR1" "grey"
"712" "PCDHB16" "grey"
"713" "APLN" "cyan"
"714" "ZBED9" "purple"
"715" "ZBTB8B" "saddlebrown"
"716" "PRKAG3" "grey"
"717" "CLDN8" "lightgreen"
"718" "FAM3B" "grey"
"719" "ARNT2" "saddlebrown"
"720" "STUM" "steelblue"
"721" "EGF" "grey"
"722" "SPSB4" "bisque4"
"723" "SLCO1A2" "grey"
"724" "PTHLH" "grey"
"725" "BRINP2" "green"
"726" "CLDN1" "grey"
"727" "STRA6" "grey"
"728" "GDF5" "royalblue"
"729" "BASP1" "darkgreen"
"730" "POU3F2" "thistle2"
"731" "ACSL6" "ivory"
"732" "LPAR5" "darkolivegreen"
"733" "AEBP1" "green"
"734" "OLFM3" "grey"
"735" "GRIN2D" "grey"
"736" "MEGF10" "grey"
"737" "GUCY1B2" "grey"
"738" "LINC00092" "green"
"739" "SLC6A17" "grey"
"740" "HMGA2" "pink"
"741" "ANO2" "green"
"742" "NTSR1" "cyan"
"743" "ENPP6" "paleturquoise"
"744" "NPY4R" "grey"
"745" "BATF" "floralwhite"
"746" "C12orf56" "green"
"747" "TWIST2" "steelblue"
"748" "TMEM213" "grey"
"749" "HOXA6" "darkgrey"
"750" "ELFN1.AS1" "grey"
"751" "TIMP3" "navajowhite2"
"752" "CD200" "grey"
"753" "COCH" "bisque4"
"754" "HLA.DRA" "grey"
"755" "ITIH5" "grey60"
"756" "LINC02487" "magenta"
"757" "TNFSF9" "cyan"
"758" "C7orf55.LUC7L2" "brown"
"759" "COL9A1" "darkslateblue"
"760" "TAGAP" "grey"
"761" "STK33" "grey"
"762" "PCSK5" "grey"
"763" "DLGAP1" "grey"
"764" "HAS2.AS1" "grey"
"765" "PCP4" "grey"
"766" "RELN" "darkseagreen4"
"767" "NKX6.1" "grey"
"768" "COL23A1" "brown"
"769" "DENND2A" "green"
"770" "IRX4" "darkorange"
"771" "LURAP1" "grey"
"772" "FNDC11" "brown"
"773" "CEACAM6" "pink"
"774" "CLEC7A" "grey"
"775" "KRT40" "darkmagenta"
"776" "MEAT6" "grey"
"777" "SYT17" "black"
"778" "CYP4X1" "black"
"779" "CPVL" "orange"
"780" "IGFBP7" "grey60"
"781" "NTF4" "grey"
"782" "INPP4B" "black"
"783" "KRT4" "brown"
"784" "LOC392196" "orangered4"
"785" "S100B" "grey"
"786" "RAB39B" "grey"
"787" "LHX2" "grey"
"788" "SGIP1" "grey"
"789" "SIM1" "skyblue1"
"790" "CLEC2B" "grey"
"791" "DLGAP1.AS5" "orangered4"
"792" "ROBO2" "salmon4"
"793" "DIRAS2" "grey"
"794" "BMP5" "grey"
"795" "FAIM2" "grey"
"796" "BNC1" "violet"
"797" "SOX8" "black"
"798" "RBP7" "grey"
"799" "ANKRD29" "grey"
"800" "LINC00920" "grey60"
"801" "C16orf89" "grey"
"802" "MUC16" "darkgreen"
"803" "EFCAB6" "grey"
"804" "GLIS1" "grey"
"805" "MEOX1" "grey"
"806" "CD79B" "salmon"
"807" "LINC01105" "brown"
"808" "ATRNL1" "white"
"809" "CLDN18" "mediumorchid"
"810" "PDGFRA" "grey"
"811" "SAMD5" "sienna3"
"812" "HOXD13" "brown"
"813" "TAL1" "bisque4"
"814" "PRDM16" "purple"
"815" "BNC2" "salmon"
"816" "CD164L2" "grey"
"817" "PRTG" "grey"
"818" "BMP6" "grey"
"819" "WDR72" "grey"
"820" "TSHZ2" "grey"
"821" "LINGO4" "pink"
"822" "SLC15A3" "tan"
