"V1" "V2"
"453" "Ogdhl" "sienna3"
"454" "Hist1h4i" "brown4"
"455" "Pck1" "darkolivegreen"
"456" "Angptl8" "brown4"
"457" "Hs3st3a1" "brown4"
"458" "Neil2" "brown4"
"459" "Lhx8" "sienna3"
"460" "Map3k13" "brown4"
"461" "Olfr920" "brown4"
"462" "X4430402I18Rik" "salmon2"
"463" "Slc26a1" "salmon4"
"464" "Nup210l" "steelblue"
"465" "Hist1h3g" "brown4"
"466" "Bicd1" "darkolivegreen"
"467" "Cfap126" "honeydew1"
"468" "Plag1" "lightsteelblue1"
"469" "AV039307" "brown4"
"470" "Eya1" "black"
"471" "Fer1l5" "sienna3"
"472" "Gm6878" "blue"
"473" "H2.M2" "darkviolet"
"474" "Kazald1" "brown4"
"475" "Opn1sw" "lightcyan1"
"476" "Pkp3" "grey"
"477" "Prr7" "brown"
"478" "Wscd2" "lightpink4"
"479" "X1700010I14Rik" "blue2"
"480" "Wfdc21" "darkolivegreen"
"481" "Tph1" "indianred4"
"482" "Klk8" "brown4"
"483" "Bco2" "maroon"
"484" "Inca1" "lightsteelblue"
"485" "Rdh5" "brown"
"486" "Car3" "darkolivegreen"
"487" "Ccl24" "brown4"
"488" "Abhd11os" "brown4"
"489" "X2500002B13Rik" "brown4"
"490" "Zbtb3" "brown"
"491" "Fam46b" "brown"
"492" "Gdpd3" "brown4"
"493" "Prox1" "grey"
"494" "Chil3" "blue"
"495" "Mmrn1" "brown4"
"496" "C530008M17Rik" "blue"
"497" "X1700095J12Rik" "brown4"
"498" "X3200001D21Rik" "brown"
"499" "Bspry" "grey"
"500" "Btbd8" "brown4"
"501" "Catip" "orangered3"
"502" "Esyt3" "skyblue1"
"503" "Fam89a" "brown4"
"504" "Gjb2" "lightsteelblue"
"505" "Gnaz" "brown"
"506" "Krt222" "brown4"
"507" "Mc2r" "darkolivegreen"
"508" "Stk32a" "blue"
"509" "Ufsp1" "brown4"
"510" "P2rx6" "brown"
"511" "Rwdd2a" "brown4"
"512" "Fam13a" "grey"
"513" "Olfr99" "salmon4"
"514" "Col6a5" "brown4"
"515" "Tlr11" "plum2"
"516" "Prrg4" "darkgrey"
"517" "Gpr85" "brown"
"518" "X5430437J10Rik" "black"
"519" "Ubd" "steelblue"
"520" "X3010003L21Rik" "orange"
"521" "X4930478L05Rik" "sienna3"
"522" "Ager" "brown4"
"523" "Catsperg1" "magenta4"
"524" "Cd207" "brown"
"525" "Dyx1c1" "royalblue"
"526" "Espn" "brown"
"527" "Fabp7" "blue"
"528" "Gap43" "brown4"
"529" "Isoc2b" "brown4"
"530" "Lrrc4c" "brown"
"531" "Plekhg6" "grey"
"532" "Psg16" "lavenderblush3"
"533" "Rac3" "brown4"
"534" "Spef2" "navajowhite2"
"535" "Pappa2" "grey"
"536" "Rgs9" "darkgrey"
"537" "Chdh" "darkolivegreen"
"538" "Rprl3" "mediumpurple3"
"539" "X4921504A21Rik" "lightsteelblue1"
"540" "Adrb3" "darkolivegreen"
"541" "Acot1" "orange"
"542" "Nphp4" "honeydew"
"543" "Tmem178b" "brown4"
"544" "X9330020H09Rik" "brown"
"545" "Slc25a27" "brown"
"546" "Ltb" "brown4"
"547" "Slco4a1" "orangered3"
"548" "Pkd1l3" "grey"
"549" "Mpzl2" "darkolivegreen"
"550" "X0610040B10Rik" "brown"
"551" "X1700086O06Rik" "darkorange2"
"552" "X9530077C05Rik" "maroon"
"553" "Asb14" "blue"
"554" "E130317F20Rik" "brown"
"555" "Esrp2" "bisque4"
"556" "Fam229b" "brown4"
"557" "Gli1" "brown4"
"558" "Klhl35" "brown"
"559" "Map3k19" "plum"
"560" "X4930487H11Rik" "brown4"
"561" "Clec4b1" "grey"
"562" "Unc5a" "brown4"
"563" "Agtr2" "brown4"
"564" "Scn4b" "darkorange2"
"565" "Ccdc39" "blue"
"566" "Tnfrsf19" "indianred4"
"567" "Mirg" "brown"
"568" "Gpr1" "lightcoral"
"569" "Ccdc8" "lightyellow"
"570" "Rpl39l" "brown4"
"571" "Tmem8b" "orangered3"
"572" "Arhgdig" "brown"
"573" "Il12rb1" "brown4"
"574" "Plppr4" "brown"
"575" "Tcea2" "brown"
"576" "Ccdc24" "brown"
"577" "Slc22a3" "darkolivegreen"
"578" "Sapcd2" "brown"
"579" "Crocc2" "grey"
"580" "Dlgap1" "darkolivegreen"
"581" "Ctnnd2" "navajowhite2"
"582" "Scx" "brown"
"583" "Grin3a" "salmon4"
