"","V1","V2"
"428","ECEL1","darkgreen"
"429","ELFN2","darkslateblue"
"430","MUC2","darkslateblue"
"431","LRRC55","grey"
"432","SELENOP","grey"
"433","MUM1L1","yellow"
"434","SYN2","thistle1"
"435","MECOM","grey"
"436","EN2","grey"
"437","C2orf54","orangered4"
"438","STXBP6","grey"
"439","PCBP3","grey"
"440","PELI2","grey"
"441","SMOC2","lightyellow"
"442","FBLN5","plum1"
"443","NKX2.5","cyan"
"444","ALKAL2","orange"
"445","GAS6","greenyellow"
"446","IRAK3","black"
"447","SV2A","paleturquoise"
"448","INPP5D","grey"
"449","KCNJ2.AS1","grey"
"450","POTEE","grey"
"451","EGFL6","grey"
"452","PCA3","grey"
"453","COL4A1","black"
"454","TLX1NB","black"
"455","PCDH20","grey"
"456","PRDM13","darkgrey"
"457","SNHG18","grey"
"458","XG","darkslateblue"
"459","EPHA7","darkred"
"460","MUC17","midnightblue"
"461","MIR503HG","grey"
"462","NGF","grey"
"463","TMEM200C","black"
"464","MUC3A","midnightblue"
"465","SIX3","skyblue"
"466","HCK","grey"
"467","CXCL1","pink"
"468","TCEB3C","grey"
"469","ISLR","salmon"
"470","ATP6V0A4","grey"
"471","GPR162","darkgreen"
"472","EFEMP1","grey"
"473","PCDHGB5","grey"
"474","CA9","darkslateblue"
"475","C14orf132","saddlebrown"
"476","MICU3","darkgrey"
"477","HLA.DRB1","lightgreen"
"478","LOC101927468","grey"
"479","TSHZ3","darkslateblue"
"480","NBPF6","grey"
"481","PRKCQ","grey"
"482","LRRC26","darkslateblue"
"483","ZNF486","grey"
"484","TMEM246","grey"
"485","CFTR","grey"
"486","FOXG1","grey"
"487","CHRNA7","thistle1"
"488","CES3","floralwhite"
"489","CRABP1","green"
"490","RORC","grey"
"491","SPRR1A","lightyellow"
"492","CBFA2T3","thistle1"
"493","SKAP1","grey"
"494","PCDH10","grey"
"495","MX2","grey"
"496","LAMC3","paleturquoise"
"497","COL9A3","plum1"
"498","WNT5A","grey"
"499","ANKRD34B","grey"
"500","LOC90246","grey"
"501","SLC5A8","grey"
"502","ABCA13","lightcyan"
"503","NDUFC2.KCTD14","darkslateblue"
"504","DEGS2","darkslateblue"
"505","LRCH2","green"
"506","DUOXA1","grey"
"507","CYP4B1","green"
"508","LINC01634","grey"
"509","RSPO4","plum2"
"510","HPGD","honeydew1"
"511","PRR16","black"
"512","ALDH1L1","grey"
"513","ARMC4","darkred"
"514","ROS1","grey"
"515","C3orf70","paleturquoise"
"516","FAM13C","black"
"517","FRZB","white"
"518","PDE3A","darkslateblue"
"519","FGF9","green"
"520","SDK1","grey"
"521","MSRB3","darkmagenta"
"522","KLK6","grey"
"523","GALNT5","grey"
"524","RNF182","skyblue"
"525","MAF","grey"
"526","VGLL3","thistle1"
"527","COL19A1","darkorange2"
"528","ACKR3","lightcyan"
"529","GOLGA8K","bisque4"
"530","TOX","grey"
"531","KRT14","bisque4"
"532","SEMA6D","grey"
"533","BMPER","darkseagreen4"
"534","H19","grey"
"535","CARD16","lightcyan"
"536","LRP1B","grey"
"537","PI3","grey"
"538","FGF2","grey"
"539","PVRIG2P","grey"
"540","COL6A3","grey"
"541","EDNRB","black"
"542","GDF15","green"
"543","SNCG","lightcyan"
"544","FOXI1","grey"
"545","ADAMTS10","grey"
"546","SORCS1","grey"
"547","PWAR6","grey"
"548","SRMS","grey"
"549","SLC44A4","yellow"
"550","NRG3","darkturquoise"
"551","LINC01198","green"
"552","KCNE3","greenyellow"
"553","LINC00284","grey"
"554","ILDR2","plum2"
"555","PLA2G4F","darkorange2"
"556","LEFTY2","grey"
"557","SV2B","grey"
"558","B3GALT5.AS1","grey"
"559","TRAF3IP3","lightcyan"
"560","SAMMSON","grey"
"561","UBD","lightgreen"
"562","LINC01468","grey"
"563","WNT5B","grey"
"564","FFAR4","midnightblue"
"565","LGALS7B","darkslateblue"
"566","RSPO1","bisque4"
"567","LY75.CD302","darkmagenta"
"568","LINC01239","grey"
"569","QRFPR","grey"
"570","GIMAP2","grey"
"571","MMP2","grey"
"572","FAM3D","darkslateblue"
"573","RTP4","maroon"
"574","CAPN13","yellow"
"575","FAR2P1","grey"
"576","FIBCD1","darkslateblue"
"577","NRG2","grey"
"578","ZDHHC2","darkgrey"
"579","C19orf33","darkslateblue"
"580","SCIN","grey"
"581","PRR15","orangered4"
"582","TENM4","grey"
"583","DLX2","grey"
"584","SLC6A12","darkgrey"
"585","SELE","lightgreen"
"586","CYP4F35P","grey"
"587","DAPL1","grey"
"588","LONRF2","grey"
"589","LOC728392","grey"
"590","RNF157","paleturquoise"
"591","GLI2","darkturquoise"
"592","SLC39A2","violet"
"593","NAP1L2","floralwhite"
"594","IGFBPL1","darkturquoise"
"595","LINC00654","grey"
"596","ZNF812P","skyblue3"
"597","APOBEC3D","grey"
"598","CLGN","grey"
"599","AMDHD1","grey"
"600","KLF14","green"
"601","TSPAN8","grey"
"602","CRTAC1","grey"
"603","CRACR2A","grey"
"604","STRC","grey"
"605","MFSD6L","darkslateblue"
"606","GBP5","darkred"
"607","CLCA2","darkslateblue"
"608","SLC35F1","grey"
"609","PRRX1","black"
"610","FABP7","grey"
"611","ULK4P1","darkturquoise"
"612","ULK4P2","darkturquoise"
"613","SERPINB9","grey"
"614","ITGA4","cyan"
"615","KLHL34","darkgrey"
"616","COL14A1","grey"
"617","CHST1","lightcyan"
"618","C1QTNF1","grey"
"619","TCF4","paleturquoise"
"620","JMJD7.PLA2G4B","grey"
"621","LINC02095","grey"
"622","SPOCK2","grey"
"623","GFRA1","grey"
"624","PIEZO2","palevioletred3"
"625","HAPLN4","cyan"
"626","LCT","skyblue3"
"627","ERC2","palevioletred3"
"628","NEFM","grey"
"629","LGR5","darkslateblue"
"630","FSTL4","grey"
"631","TM4SF18","grey"
"632","TCEAL2","cyan"
"633","COL4A2","black"
"634","GNG2","grey"
"635","FAM198B","grey"
"636","VWA5A","grey"
"637","PCDHB8","grey"
"638","CIITA","lightgreen"
"639","TRIM55","grey"
"640","SCGB3A1","darkslateblue"
"641","INA","grey"
"642","PRELP","green"
"643","ZNF114","paleturquoise"
"644","PPARGC1A","darkgrey"
"645","SLCO2A1","saddlebrown"
"646","BATF2","grey"
"647","ACP7","grey"
"648","RGL3","darkslateblue"
"649","OAS2","magenta"
"650","PGLYRP4","grey"
"651","HOXA11","grey"
"652","PAX7","grey"
"653","PTPRN2","green"
"654","UBXN10","lightcyan"
"655","CNTN5","white"
"656","ZNF626","grey"
"657","SLC47A1","paleturquoise"
"658","SARDH","lightcyan"
"659","TNFSF11","grey"
"660","PCDH7","saddlebrown"
"661","IL12RB2","yellow"
"662","MAPT.IT1","grey"
"663","SNAP25","grey"
"664","LZTS1","lightyellow"
"665","LRP4","black"
"666","RGS7BP","grey"
"667","KL","greenyellow"
"668","SPAAR","darkmagenta"
"669","BGN","darkgrey"
"670","SHC4","green"
"671","SHROOM4","grey"
"672","USP32P2","grey"
"673","LINC00319","darkslateblue"
"674","SLIT3","grey"
"675","SLC26A9","floralwhite"
"676","POU4F1","darkgrey"
"677","IL2RG","honeydew1"
"678","TMTC1","grey"
"679","C6orf15","grey"
"680","GSTT2","salmon"
"681","DDR2","grey"
"682","ROR2","black"
"683","ACY3","darkslateblue"
"684","TMEM100","greenyellow"
"685","KIF26A","grey"
"686","PAX8.AS1","grey"
"687","OCA2","grey"
"688","WNT6","darkslateblue"
"689","KCNT2","grey"
"690","TFPI","grey"
"691","DNAH3","grey"
"692","ADGRG4","midnightblue"
"693","LPAR1","lightgreen"
"694","CCDC144CP","grey"
"695","LINC01018","darkgrey"
"696","MMP7","grey"
"697","ASTN1","grey"
"698","CACNA1E","grey"
"699","VNN1","lightgreen"
"700","MIA.RAB4B","greenyellow"
"701","CRLF1","skyblue"
"702","MNX1","grey"
"703","GBP4","magenta"
"704","ACPP","green"
"705","RTEL1.TNFRSF6B","grey"
"706","TFPI2","grey"
"707","GYPC","midnightblue"
"708","ADAMTS2","grey"
"709","CLEC5A","grey"
"710","GS1.24F4.2","palevioletred3"
