V1	V2
C19orf33	darkslateblue
SCIN	grey
PRR15	orangered4
TENM4	grey
DLX2	grey
SLC6A12	darkgrey
SELE	lightgreen
CYP4F35P	grey
DAPL1	grey
LONRF2	grey
LOC728392	grey
RNF157	paleturquoise
GLI2	darkturquoise
SLC39A2	violet
NAP1L2	floralwhite
IGFBPL1	darkturquoise
LINC00654	grey
ZNF812P	skyblue3
APOBEC3D	grey
CLGN	grey
AMDHD1	grey
KLF14	green
TSPAN8	grey
CRTAC1	grey
CRACR2A	grey
STRC	grey
MFSD6L	darkslateblue
GBP5	darkred
CLCA2	darkslateblue
SLC35F1	grey
PRRX1	black
FABP7	grey
ULK4P1	darkturquoise
ULK4P2	darkturquoise
SERPINB9	grey
ITGA4	cyan
KLHL34	darkgrey
COL14A1	grey
CHST1	lightcyan
C1QTNF1	grey
TCF4	paleturquoise
JMJD7.PLA2G4B	grey
LINC02095	grey
SPOCK2	grey
GFRA1	grey
PIEZO2	palevioletred3
HAPLN4	cyan
LCT	skyblue3
ERC2	palevioletred3
NEFM	grey
LGR5	darkslateblue
FSTL4	grey
TM4SF18	grey
TCEAL2	cyan
COL4A2	black
GNG2	grey
FAM198B	grey
VWA5A	grey
PCDHB8	grey
CIITA	lightgreen
TRIM55	grey
SCGB3A1	darkslateblue
INA	grey
PRELP	green
ZNF114	paleturquoise
PPARGC1A	darkgrey
SLCO2A1	saddlebrown
BATF2	grey
ACP7	grey
RGL3	darkslateblue
OAS2	magenta
PGLYRP4	grey
HOXA11	grey
PAX7	grey
PTPRN2	green
UBXN10	lightcyan
CNTN5	white
ZNF626	grey
SLC47A1	paleturquoise
SARDH	lightcyan
TNFSF11	grey
PCDH7	saddlebrown
IL12RB2	yellow
MAPT.IT1	grey
SNAP25	grey
LZTS1	lightyellow
LRP4	black
RGS7BP	grey
KL	greenyellow
SPAAR	darkmagenta
BGN	darkgrey
SHC4	green
SHROOM4	grey
USP32P2	grey
LINC00319	darkslateblue
SLIT3	grey
SLC26A9	floralwhite
POU4F1	darkgrey
IL2RG	honeydew1
TMTC1	grey
C6orf15	grey
GSTT2	salmon
DDR2	grey
ROR2	black
ACY3	darkslateblue
TMEM100	greenyellow
KIF26A	grey
PAX8.AS1	grey
OCA2	grey
WNT6	darkslateblue
KCNT2	grey
TFPI	grey
DNAH3	grey
ADGRG4	midnightblue
LPAR1	lightgreen
CCDC144CP	grey
LINC01018	darkgrey
MMP7	grey
ASTN1	grey
CACNA1E	grey
VNN1	lightgreen
MIA.RAB4B	greenyellow
CRLF1	skyblue
MNX1	grey
GBP4	magenta
ACPP	green
RTEL1.TNFRSF6B	grey
TFPI2	grey
GYPC	midnightblue
ADAMTS2	grey
CLEC5A	grey
GS1.24F4.2	palevioletred3
LAIR1	grey
PCDHB16	grey
APLN	floralwhite
ZBED9	grey
ZBTB8B	black
PRKAG3	grey
CLDN8	lightcyan1
FAM3B	grey
ARNT2	black
STUM	darkgrey
EGF	grey
SPSB4	paleturquoise
SLCO1A2	grey
PTHLH	grey
BRINP2	grey
CLDN1	grey
STRA6	grey
GDF5	green
BASP1	saddlebrown
POU3F2	green
ACSL6	pink
LPAR5	bisque4
AEBP1	cyan
OLFM3	grey
GRIN2D	grey
MEGF10	grey
GUCY1B2	grey
LINC00092	darkgreen
SLC6A17	grey
HMGA2	yellow
ANO2	cyan
NTSR1	darkslateblue
ENPP6	maroon
NPY4R	grey
BATF	yellow
C12orf56	darkgreen
TWIST2	darkgrey
TMEM213	grey
HOXA6	grey
ELFN1.AS1	grey
TIMP3	grey
CD200	grey
COCH	paleturquoise
HLA.DRA	lightgreen
ITIH5	plum2
LINC02487	green
TNFSF9	darkslateblue
C7orf55.LUC7L2	darkslateblue
COL9A1	thistle1
TAGAP	navajowhite2
STK33	grey
PCSK5	grey
DLGAP1	white
HAS2.AS1	black
PCP4	grey
RELN	grey
NKX6.1	grey
COL23A1	thistle1
DENND2A	darkgreen
IRX4	black
LURAP1	grey
FNDC11	darkslateblue
CEACAM6	yellow
CLEC7A	grey
KRT40	grey
MEAT6	grey
SYT17	yellow
CYP4X1	green
CPVL	plum1
IGFBP7	green
NTF4	brown4
INPP4B	yellow
KRT4	bisque4
LOC392196	palevioletred3
S100B	green
RAB39B	grey
LHX2	grey
SGIP1	grey
SIM1	grey
CLEC2B	grey
DLGAP1.AS5	white
ROBO2	navajowhite2
DIRAS2	grey
BMP5	grey
FAIM2	grey
BNC1	darkgrey
SOX8	green
RBP7	darkgreen
ANKRD29	grey
LINC00920	grey
C16orf89	grey
MUC16	saddlebrown
EFCAB6	grey
GLIS1	grey
MEOX1	grey
CD79B	salmon
LINC01105	yellow
ATRNL1	lightsteelblue1
CLDN18	grey
PDGFRA	darkmagenta
SAMD5	darkmagenta
HOXD13	bisque4
TAL1	paleturquoise
PRDM16	floralwhite
BNC2	plum2
CD164L2	grey
PRTG	grey
BMP6	grey
WDR72	grey
TSHZ2	grey
LINGO4	ivory
SLC15A3	grey
NCAM2	grey
SLC2A14	grey
MME	grey
HTR1D	greenyellow
RIMBP3	grey
HES4	darkslateblue
SEC14L4	grey
DPYSL4	grey
PCDH15	grey
AQP3	grey
SPTSSB	orangered4
UNC5C	grey
MMP9	grey
CCL20	pink
ST6GALNAC3	grey
IKZF3	grey
GABRQ	grey
ANXA8	grey
SLITRK6	grey
MPZ	darkgrey
HCG4	grey
PLP1	brown4
TGM2	honeydew1
NOS2	grey
TAS2R43	grey
TMEM132E	grey
LOC101929586	black
PTPRM	grey
TTYH1	lavenderblush3
LOC101929427	orange
DOCK2	grey
HHIPL2	thistle1
MEST	grey
STEAP4	lightcyan
RSPO3	grey
IL1RN	green
KIAA1456	palevioletred3
RAMP1	lightsteelblue1
CYS1	paleturquoise
CAPN6	salmon
DPPA2P3	darkslateblue
MOXD1	black
ADIRF	darkslateblue
ANK1	honeydew1
OR7A5	grey
POMC	grey
CALML3	darkslateblue
DCC	grey
FAM107A	grey
TGM5	violet
SNCA	grey
DPP10	grey
C8orf46	green
NIPAL4	grey
LINC00889	skyblue
PDGFRB	darkred
ZNF492	grey
MAT1A	greenyellow
ABCG2	grey
LUM	lightsteelblue1
SYNPO2	pink
FAM133A	grey
GABRA3	grey
TCN1	green
CXorf49	darkolivegreen
CXorf49B	darkolivegreen
MNX1.AS1	ivory
SAA1	salmon4
CFD	darkslateblue
FOXI3	paleturquoise
LSP1	grey
TMEM132B	grey
ACTA2	grey
ESRRG	darkmagenta
SEMA5B	grey
ITGBL1	grey
ITPRIPL1	darkred
PLA2G3	grey
TFF3	darkslateblue
BTNL9	grey
HSPB2	grey
UBE2QL1	grey
FLI1	lightsteelblue1
IL22RA2	grey
PAX1	bisque4
KCND2	grey
IQGAP2	grey
EFCAB1	grey
GGT5	grey
ZNF365	grey
EDNRA	grey
LOC284581	grey
GATA6.AS1	grey
AMN	greenyellow
MGC12916	grey
RASL12	salmon
GSTT2B	greenyellow
IGFBP5	grey
FGD2	darkslateblue
STC1	grey
FOXA3	darkslateblue
FOLR1	floralwhite
TBX4	grey
ANXA8L1	navajowhite2
SYT11	black
HGD	yellow
ANKRD30B	darkorange2
PRR18	grey
TOGARAM2	grey
PRKG2	grey
LTB	grey
AGT	grey
BST2	magenta
VSTM2L	grey
SOSTDC1	grey
AQP4	grey
TMEM200A	black
FAT3	grey
LINC01550	grey
AASS	honeydew1
SLC27A2	ivory
MAPK10	grey
DCLK3	darkturquoise
MIR4697HG	greenyellow
TGFBR3L	darkslateblue
ZIC5	grey
OAS1	magenta
GPC6	black
CCKBR	salmon
LOC100287846	navajowhite2
CT83	grey
SLCO5A1	black
ZG16B	skyblue3
SELL	grey
TRABD2A	grey
LINC00460	lightgreen
PCSK4	orangered4
GJB5	darkolivegreen
FAM181B	grey
LOC100129940	grey
CDR1	grey
BEND4	grey
CELF2.AS1	grey
LINC00601	grey
LOC100631378	grey
DKK1	grey
STON1.GTF2A1L	grey
